strategy,accuracy,macro_f1,rumor_f1,precision_1,recall_1,tn,fp,fn,tp,fold,scale,feature_set
component_rhetorical_scale_1,0.8624338624338624,0.8591169724770642,0.8375,0.8663793103448276,0.8104838709677419,288,31,47,201,2,1.0,component
component_rhetorical_scale_2,0.8624338624338624,0.8591169724770642,0.8375,0.8663793103448276,0.8104838709677419,288,31,47,201,2,2.0,component
component_rhetorical_scale_4,0.8624338624338624,0.8591169724770642,0.8375,0.8663793103448276,0.8104838709677419,288,31,47,201,2,4.0,component
baseline,0.8800705467372134,0.878049089068826,0.8623481781376519,0.8623481781376519,0.8623481781376519,286,34,34,213,3,0.0,baseline
strict_rhetorical_scale_0.5,0.8800705467372134,0.878049089068826,0.8623481781376519,0.8623481781376519,0.8623481781376519,286,34,34,213,3,0.5,strict
strict_rhetorical_scale_1,0.8800705467372134,0.878049089068826,0.8623481781376519,0.8623481781376519,0.8623481781376519,286,34,34,213,3,1.0,strict
strict_rhetorical_scale_2,0.8800705467372134,0.878049089068826,0.8623481781376519,0.8623481781376519,0.8623481781376519,286,34,34,213,3,2.0,strict
strict_rhetorical_scale_4,0.8800705467372134,0.878049089068826,0.8623481781376519,0.8623481781376519,0.8623481781376519,286,34,34,213,3,4.0,strict
component_rhetorical_scale_0.5,0.8800705467372134,0.878049089068826,0.8623481781376519,0.8623481781376519,0.8623481781376519,286,34,34,213,3,0.5,component
component_rhetorical_scale_1,0.8783068783068783,0.8761981310895437,0.8600405679513184,0.8617886178861789,0.8582995951417004,286,34,35,212,3,1.0,component
component_rhetorical_scale_2,0.8800705467372134,0.877934807385457,0.8617886178861789,0.8653061224489796,0.8582995951417004,287,33,35,212,3,2.0,component
component_rhetorical_scale_4,0.8783068783068783,0.8760804908255282,0.8594704684317719,0.8647540983606558,0.854251012145749,287,33,36,211,3,4.0,component
baseline,0.8621908127208481,0.8577504543169778,0.8326180257510729,0.8858447488584474,0.7854251012145749,294,25,53,194,4,0.0,baseline
strict_rhetorical_scale_0.5,0.8621908127208481,0.8577504543169778,0.8326180257510729,0.8858447488584474,0.7854251012145749,294,25,53,194,4,0.5,strict
strict_rhetorical_scale_1,0.8621908127208481,0.8577504543169778,0.8326180257510729,0.8858447488584474,0.7854251012145749,294,25,53,194,4,1.0,strict
strict_rhetorical_scale_2,0.8621908127208481,0.8577504543169778,0.8326180257510729,0.8858447488584474,0.7854251012145749,294,25,53,194,4,2.0,strict
strict_rhetorical_scale_4,0.8621908127208481,0.8577504543169778,0.8326180257510729,0.8858447488584474,0.7854251012145749,294,25,53,194,4,4.0,strict
component_rhetorical_scale_0.5,0.8621908127208481,0.8577504543169778,0.8326180257510729,0.8858447488584474,0.7854251012145749,294,25,53,194,4,0.5,component
component_rhetorical_scale_1,0.8604240282685512,0.8558333736357627,0.8301075268817204,0.8853211009174312,0.7813765182186235,294,25,54,193,4,1.0,component
component_rhetorical_scale_2,0.8586572438162544,0.8539128639273178,0.8275862068965517,0.8847926267281107,0.7773279352226721,294,25,55,192,4,2.0,component
component_rhetorical_scale_4,0.8568904593639576,0.8519888812482446,0.8250539956803455,0.8842592592592593,0.7732793522267206,294,25,56,191,4,4.0,component
baseline,0.8780918727915195,0.8751418697068613,0.8559498956158664,0.8836206896551724,0.8299595141700404,292,27,42,205,5,0.0,baseline
strict_rhetorical_scale_0.5,0.8780918727915195,0.8751418697068613,0.8559498956158664,0.8836206896551724,0.8299595141700404,292,27,42,205,5,0.5,strict
strict_rhetorical_scale_1,0.8780918727915195,0.8751418697068613,0.8559498956158664,0.8836206896551724,0.8299595141700404,292,27,42,205,5,1.0,strict
strict_rhetorical_scale_2,0.8780918727915195,0.8751418697068613,0.8559498956158664,0.8836206896551724,0.8299595141700404,292,27,42,205,5,2.0,strict
strict_rhetorical_scale_4,0.8780918727915195,0.8751418697068613,0.8559498956158664,0.8836206896551724,0.8299595141700404,292,27,42,205,5,4.0,strict
component_rhetorical_scale_0.5,0.8763250883392226,0.8732614231059588,0.8535564853556485,0.8831168831168831,0.8259109311740891,292,27,43,204,5,0.5,component
